#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 5000         	 7787.00          	 5.000000   	 0.61           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 5000         	 7854.00          	 5.000000   	 0.61           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 5000         	 7832.00          	 4.000000   	 0.61           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 5000         	 7953.00          	 4.000000   	 0.60           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 5000         	 7940.00          	 5.000000   	 0.60           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 5000         	 7849.00          	 4.000000   	 0.61           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 5000         	 7819.00          	 5.000000   	 0.61           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 5000         	 7825.00          	 5.000000   	 0.61           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 5000         	 7833.00          	 5.000000   	 0.61           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 5000         	 7780.00          	 5.000000   	 0.61           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 5000         	 10162.00         	 5.000000   	 0.94           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 5000         	 10162.00         	 6.000000   	 0.94           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 5000         	 10262.00         	 5.000000   	 0.93           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 5000         	 10233.00         	 5.000000   	 0.93           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 5000         	 10174.00         	 5.000000   	 0.94           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 5000         	 10161.00         	 5.000000   	 0.94           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 5000         	 10314.00         	 5.000000   	 0.92           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 5000         	 10243.00         	 5.000000   	 0.93           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 5000         	 10176.00         	 4.000000   	 0.94           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 5000         	 10182.00         	 5.000000   	 0.94           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 5000         	 41884.00         	 10.000000  	 1.14           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 5000         	 42749.00         	 9.000000   	 1.12           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 5000         	 42183.00         	 11.000000  	 1.13           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 5000         	 42099.00         	 12.000000  	 1.13           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 5000         	 41949.00         	 10.000000  	 1.14           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 5000         	 42205.00         	 11.000000  	 1.13           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 5000         	 42205.00         	 10.000000  	 1.13           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 5000         	 42132.00         	 11.000000  	 1.13           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 5000         	 42276.00         	 11.000000  	 1.13           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 5000         	 41893.00         	 11.000000  	 1.14           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 10000        	 15603.00         	 5.000000   	 0.31           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 10000        	 15651.00         	 4.000000   	 0.30           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 10000        	 15735.00         	 4.000000   	 0.30           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 10000        	 15545.00         	 4.000000   	 0.31           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 10000        	 15642.00         	 4.000000   	 0.30           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 10000        	 15642.00         	 5.000000   	 0.30           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 10000        	 15600.00         	 4.000000   	 0.31           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 10000        	 15780.00         	 4.000000   	 0.30           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 10000        	 15542.00         	 4.000000   	 0.31           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 10000        	 15655.00         	 5.000000   	 0.30           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 10000        	 20324.00         	 6.000000   	 0.47           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 10000        	 20233.00         	 5.000000   	 0.47           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 10000        	 20367.00         	 5.000000   	 0.47           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 10000        	 20236.00         	 5.000000   	 0.47           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 10000        	 20231.00         	 5.000000   	 0.47           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 10000        	 20287.00         	 5.000000   	 0.47           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 10000        	 20362.00         	 5.000000   	 0.47           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 10000        	 20289.00         	 5.000000   	 0.47           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 10000        	 20798.00         	 5.000000   	 0.46           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 10000        	 20288.00         	 5.000000   	 0.47           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 83777.00         	 10.000000  	 0.57           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 84141.00         	 11.000000  	 0.57           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 84215.00         	 12.000000  	 0.57           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 84133.00         	 11.000000  	 0.57           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 84468.00         	 9.000000   	 0.56           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 84152.00         	 11.000000  	 0.57           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 84232.00         	 11.000000  	 0.57           
