bytes        	 repeticoes  	 t[usec]        	 tempo de spawn[usec]	 
5000         	 5000        	 60475         	 327                 	 
5000         	 5000        	 44313         	 320                 	 
5000         	 5000        	 45098         	 322                 	 
5000         	 5000        	 49695         	 343                 	 
5000         	 5000        	 46135         	 323                 	 
5000         	 5000        	 45590         	 318                 	 
5000         	 5000        	 52093         	 325                 	 
5000         	 5000        	 42056         	 323                 	 
5000         	 5000        	 40960         	 318                 	 
5000         	 5000        	 43209         	 343                 	 
10000        	 5000        	 77743         	 325                 	 
10000        	 5000        	 153164        	 325                 	 
10000        	 5000        	 82251         	 322                 	 
10000        	 5000        	 80265         	 328                 	 
10000        	 5000        	 107938        	 322                 	 
10000        	 5000        	 93468         	 331                 	 
10000        	 5000        	 119963        	 318                 	 
10000        	 5000        	 79587         	 321                 	 
10000        	 5000        	 74884         	 323                 	 
10000        	 5000        	 150667        	 326                 	 
50000        	 5000        	 321439        	 324                 	 
50000        	 5000        	 317507        	 319                 	 
50000        	 5000        	 373880        	 350                 	 
50000        	 5000        	 399421        	 324                 	 
50000        	 5000        	 338396        	 343                 	 
50000        	 5000        	 400754        	 326                 	 
50000        	 5000        	 329855        	 324                 	 
50000        	 5000        	 428389        	 326                 	 
50000        	 5000        	 411131        	 320                 	 
50000        	 5000        	 350253        	 331                 	 
5000         	 10000       	 174319        	 320                 	 
5000         	 10000       	 101702        	 322                 	 
5000         	 10000       	 96929         	 319                 	 
5000         	 10000       	 141789        	 323                 	 
5000         	 10000       	 124767        	 325                 	 
5000         	 10000       	 85789         	 320                 	 
5000         	 10000       	 216437        	 320                 	 
5000         	 10000       	 96965         	 324                 	 
5000         	 10000       	 120035        	 325                 	 
5000         	 10000       	 82110         	 323                 	 
10000        	 10000       	 198908        	 336                 	 
10000        	 10000       	 140543        	 330                 	 
10000        	 10000       	 157314        	 330                 	 
10000        	 10000       	 190822        	 325                 	 
10000        	 10000       	 143327        	 326                 	 
10000        	 10000       	 142898        	 329                 	 
10000        	 10000       	 137174        	 329                 	 
10000        	 10000       	 145058        	 325                 	 
10000        	 10000       	 255931        	 329                 	 
10000        	 10000       	 147615        	 323                 	 
50000        	 10000       	 630968        	 321                 	 
50000        	 10000       	 728908        	 326                 	 
50000        	 10000       	 829198        	 326                 	 
50000        	 10000       	 656709        	 327                 	 
50000        	 10000       	 678434        	 324                 	 
50000        	 10000       	 682404        	 325                 	 
50000        	 10000       	 680928        	 326                 	 
50000        	 10000       	 733319        	 339                 	 
50000        	 10000       	 679421        	 326                 	 
50000        	 10000       	 629055        	 328                 	 
5000         	 50000       	 382673        	 320                 	 
5000         	 50000       	 300242        	 321                 	 
5000         	 50000       	 452872        	 322                 	 
5000         	 50000       	 334636        	 320                 	 
5000         	 50000       	 331659        	 318                 	 
5000         	 50000       	 358116        	 317                 	 
5000         	 50000       	 318272        	 322                 	 
5000         	 50000       	 470350        	 320                 	 
5000         	 50000       	 333155        	 324                 	 
5000         	 50000       	 323953        	 318                 	 
10000        	 50000       	 594405        	 326                 	 
10000        	 50000       	 539104        	 324                 	 
10000        	 50000       	 592771        	 318                 	 
10000        	 50000       	 603102        	 321                 	 
10000        	 50000       	 535633        	 321                 	 
10000        	 50000       	 594911        	 322                 	 
10000        	 50000       	 682069        	 326                 	 
10000        	 50000       	 612052        	 325                 	 
10000        	 50000       	 548882        	 344                 	 
10000        	 50000       	 644996        	 322                 	 
50000        	 50000       	 2862839       	 325                 	 
50000        	 50000       	 2814078       	 329                 	 
50000        	 50000       	 3437328       	 323                 	 
50000        	 50000       	 3576322       	 323                 	 
50000        	 50000       	 3029900       	 322                 	 
50000        	 50000       	 2877970       	 327                 	 
50000        	 50000       	 2923905       	 413                 	 
50000        	 50000       	 3315685       	 324                 	 
50000        	 50000       	 2916814       	 323                 	 
50000        	 50000       	 3040191       	 325                 	 
5000         	 100000      	 545958        	 321                 	 
5000         	 100000      	 590065        	 322                 	 
5000         	 100000      	 696128        	 318                 	 
5000         	 100000      	 646125        	 331                 	 
5000         	 100000      	 696199        	 323                 	 
5000         	 100000      	 597764        	 333                 	 
5000         	 100000      	 546057        	 321                 	 
5000         	 100000      	 756987        	 325                 	 
5000         	 100000      	 645999        	 322                 	 
5000         	 100000      	 548250        	 322                 	 
10000        	 100000      	 1154456       	 324                 	 
10000        	 100000      	 1054468       	 323                 	 
10000        	 100000      	 1079525       	 525                 	 
10000        	 100000      	 1014919       	 319                 	 
10000        	 100000      	 1204315       	 322                 	 
10000        	 100000      	 1184104       	 325                 	 
10000        	 100000      	 1276552       	 323                 	 
10000        	 100000      	 1104247       	 327                 	 
10000        	 100000      	 1134111       	 321                 	 
10000        	 100000      	 1204536       	 412                 	 
50000        	 100000      	 9916191       	 324                 	 
50000        	 100000      	 7798881       	 320                 	 
50000        	 100000      	 9617350       	 345                 	 
50000        	 100000      	 9487699       	 326                 	 
50000        	 100000      	 9919167       	 323                 	 
50000        	 100000      	 9372423       	 323                 	 
50000        	 100000      	 9066982       	 317                 	 
50000        	 100000      	 9092448       	 324                 	 
50000        	 100000      	 9083376       	 324                 	 
50000        	 100000      	 8510819       	 323                 	 
5000         	 500000      	 2743410       	 321                 	 
5000         	 500000      	 2769536       	 319                 	 
5000         	 500000      	 2694603       	 339                 	 
5000         	 500000      	 2727151       	 321                 	 
5000         	 500000      	 2865517       	 328                 	 
5000         	 500000      	 3143396       	 323                 	 
5000         	 500000      	 3015544       	 318                 	 
5000         	 500000      	 2742991       	 323                 	 
5000         	 500000      	 2743812       	 321                 	 
5000         	 500000      	 2715895       	 320                 	 
10000        	 500000      	 8245363       	 329                 	 
10000        	 500000      	 8723167       	 320                 	 
10000        	 500000      	 7760184       	 321                 	 
10000        	 500000      	 8930831       	 326                 	 
10000        	 500000      	 8364306       	 323                 	 
10000        	 500000      	 7683229       	 326                 	 
10000        	 500000      	 7708855       	 320                 	 
10000        	 500000      	 8066215       	 322                 	 
10000        	 500000      	 9228108       	 318                 	 
10000        	 500000      	 7981161       	 325                 	 
50000        	 500000      	 71385683      	 334                 	 
50000        	 500000      	 79592137      	 319                 	 
50000        	 500000      	 71042737      	 345                 	 
50000        	 500000      	 73559870      	 323                 	 
50000        	 500000      	 72932399      	 336                 	 
50000        	 500000      	 82073642      	 328                 	 
50000        	 500000      	 75306473      	 325                 	 
50000        	 500000      	 71966896      	 324                 	 
50000        	 500000      	 75797628      	 326                 	 
50000        	 500000      	 75538133      	 323                 	 
5000         	 1000000     	 8364171       	 324                 	 
5000         	 1000000     	 7420582       	 323                 	 
5000         	 1000000     	 7967830       	 325                 	 
5000         	 1000000     	 9502341       	 320                 	 
5000         	 1000000     	 8746692       	 325                 	 
5000         	 1000000     	 10432186      	 321                 	 
5000         	 1000000     	 7184710       	 321                 	 
5000         	 1000000     	 7725106       	 332                 	 
5000         	 1000000     	 8001103       	 324                 	 
5000         	 1000000     	 7804587       	 343                 	 
10000        	 1000000     	 20320495      	 323                 	 
10000        	 1000000     	 23085917      	 322                 	 
10000        	 1000000     	 22731345      	 324                 	 
10000        	 1000000     	 23679363      	 329                 	 
10000        	 1000000     	 26185757      	 332                 	 
10000        	 1000000     	 23595509      	 324                 	 
10000        	 1000000     	 21362743      	 324                 	 
10000        	 1000000     	 23728987      	 324                 	 
10000        	 1000000     	 21972472      	 325                 	 
10000        	 1000000     	 23978507      	 324                 	 
50000        	 1000000     	 168283476     	 324                 	 
50000        	 1000000     	 163948169     	 325                 	 
50000        	 1000000     	 167613006     	 326                 	 
50000        	 1000000     	 161615027     	 324                 	 
50000        	 1000000     	 165661249     	 322                 	 
50000        	 1000000     	 168971371     	 325                 	 
