bytes        	 repeticoes  	 t[usec]        	 tempo de spawn[usec]	 
5000         	 5000        	 63450         	 586                 	 
5000         	 5000        	 72217         	 579                 	 
5000         	 5000        	 63331         	 592                 	 
5000         	 5000        	 109841        	 577                 	 
5000         	 5000        	 76084         	 587                 	 
5000         	 5000        	 77560         	 573                 	 
5000         	 5000        	 75464         	 575                 	 
5000         	 5000        	 59723         	 574                 	 
5000         	 5000        	 172926        	 575                 	 
5000         	 5000        	 61808         	 569                 	 
10000        	 5000        	 189613        	 608                 	 
10000        	 5000        	 110642        	 577                 	 
10000        	 5000        	 145381        	 758                 	 
10000        	 5000        	 122542        	 580                 	 
10000        	 5000        	 199499        	 582                 	 
10000        	 5000        	 218228        	 578                 	 
10000        	 5000        	 183422        	 736                 	 
10000        	 5000        	 192062        	 728                 	 
10000        	 5000        	 194255        	 755                 	 
10000        	 5000        	 177904        	 997                 	 
50000        	 5000        	 516530        	 579                 	 
50000        	 5000        	 435243        	 580                 	 
50000        	 5000        	 490944        	 736                 	 
50000        	 5000        	 425586        	 576                 	 
50000        	 5000        	 520474        	 563                 	 
50000        	 5000        	 600243        	 587                 	 
50000        	 5000        	 446594        	 889                 	 
50000        	 5000        	 473263        	 601                 	 
50000        	 5000        	 632829        	 573                 	 
50000        	 5000        	 539983        	 744                 	 
5000         	 10000       	 171204        	 886                 	 
5000         	 10000       	 136175        	 743                 	 
5000         	 10000       	 302918        	 574                 	 
5000         	 10000       	 121441        	 574                 	 
5000         	 10000       	 288108        	 579                 	 
5000         	 10000       	 148879        	 981                 	 
5000         	 10000       	 202360        	 574                 	 
5000         	 10000       	 154700        	 1000                	 
5000         	 10000       	 240603        	 574                 	 
5000         	 10000       	 134274        	 571                 	 
10000        	 10000       	 270100        	 583                 	 
10000        	 10000       	 301830        	 579                 	 
10000        	 10000       	 368961        	 574                 	 
10000        	 10000       	 223342        	 608                 	 
10000        	 10000       	 204820        	 579                 	 
10000        	 10000       	 352431        	 580                 	 
10000        	 10000       	 197256        	 749                 	 
10000        	 10000       	 217332        	 573                 	 
10000        	 10000       	 266317        	 578                 	 
10000        	 10000       	 270987        	 576                 	 
50000        	 10000       	 858608        	 582                 	 
50000        	 10000       	 1092982       	 571                 	 
50000        	 10000       	 891075        	 573                 	 
50000        	 10000       	 934994        	 580                 	 
50000        	 10000       	 989903        	 640                 	 
50000        	 10000       	 953346        	 575                 	 
50000        	 10000       	 1025680       	 980                 	 
50000        	 10000       	 1076120       	 973                 	 
50000        	 10000       	 968083        	 580                 	 
50000        	 10000       	 1150169       	 631                 	 
5000         	 50000       	 458462        	 743                 	 
5000         	 50000       	 484643        	 575                 	 
5000         	 50000       	 517195        	 585                 	 
5000         	 50000       	 541221        	 576                 	 
5000         	 50000       	 468127        	 587                 	 
5000         	 50000       	 618718        	 743                 	 
5000         	 50000       	 725843        	 576                 	 
5000         	 50000       	 561340        	 573                 	 
5000         	 50000       	 433195        	 596                 	 
5000         	 50000       	 638765        	 590                 	 
10000        	 50000       	 963410        	 583                 	 
10000        	 50000       	 903364        	 573                 	 
10000        	 50000       	 927451        	 974                 	 
10000        	 50000       	 904871        	 571                 	 
10000        	 50000       	 907473        	 575                 	 
10000        	 50000       	 975174        	 596                 	 
10000        	 50000       	 804740        	 575                 	 
10000        	 50000       	 861621        	 582                 	 
10000        	 50000       	 921212        	 745                 	 
10000        	 50000       	 888913        	 1008                	 
50000        	 50000       	 4020425       	 571                 	 
50000        	 50000       	 4576967       	 622                 	 
50000        	 50000       	 4915765       	 655                 	 
50000        	 50000       	 4408332       	 574                 	 
50000        	 50000       	 5263585       	 573                 	 
50000        	 50000       	 4541269       	 613                 	 
50000        	 50000       	 4318274       	 576                 	 
50000        	 50000       	 4207963       	 741                 	 
50000        	 50000       	 4250635       	 743                 	 
50000        	 50000       	 3857618       	 575                 	 
5000         	 100000      	 961299        	 576                 	 
5000         	 100000      	 850748        	 579                 	 
5000         	 100000      	 896553        	 981                 	 
5000         	 100000      	 950058        	 574                 	 
5000         	 100000      	 941254        	 603                 	 
5000         	 100000      	 860085        	 574                 	 
5000         	 100000      	 864536        	 680                 	 
5000         	 100000      	 919495        	 583                 	 
5000         	 100000      	 966433        	 979                 	 
5000         	 100000      	 924208        	 578                 	 
10000        	 100000      	 1590479       	 577                 	 
10000        	 100000      	 1401051       	 974                 	 
10000        	 100000      	 1625536       	 747                 	 
10000        	 100000      	 1516566       	 574                 	 
10000        	 100000      	 1595601       	 655                 	 
10000        	 100000      	 1689178       	 673                 	 
10000        	 100000      	 1640473       	 599                 	 
10000        	 100000      	 1661598       	 981                 	 
10000        	 100000      	 1645926       	 607                 	 
10000        	 100000      	 1577523       	 576                 	 
50000        	 100000      	 12395081      	 579                 	 
50000        	 100000      	 12001358      	 589                 	 
